canonical_team_id,fifa_rank,fifa_points,snapshot_date,source_url
ARG,1,1867,2026-05-22,https://www.fifa.com/fifa-world-ranking
ESP,2,1854,2026-05-22,https://www.fifa.com/fifa-world-ranking
FRA,3,1839,2026-05-22,https://www.fifa.com/fifa-world-ranking
ENG,4,1821,2026-05-22,https://www.fifa.com/fifa-world-ranking
BRA,5,1798,2026-05-22,https://www.fifa.com/fifa-world-ranking
POR,6,1785,2026-05-22,https://www.fifa.com/fifa-world-ranking
NED,7,1771,2026-05-22,https://www.fifa.com/fifa-world-ranking
BEL,8,1755,2026-05-22,https://www.fifa.com/fifa-world-ranking
ITA,9,1742,2026-05-22,https://www.fifa.com/fifa-world-ranking
GER,10,1731,2026-05-22,https://www.fifa.com/fifa-world-ranking
CRO,11,1705,2026-05-22,https://www.fifa.com/fifa-world-ranking
URU,12,1693,2026-05-22,https://www.fifa.com/fifa-world-ranking
MAR,13,1678,2026-05-22,https://www.fifa.com/fifa-world-ranking
COL,14,1664,2026-05-22,https://www.fifa.com/fifa-world-ranking
USA,15,1651,2026-05-22,https://www.fifa.com/fifa-world-ranking
MEX,16,1638,2026-05-22,https://www.fifa.com/fifa-world-ranking
SUI,17,1625,2026-05-22,https://www.fifa.com/fifa-world-ranking
DEN,18,1611,2026-05-22,https://www.fifa.com/fifa-world-ranking
JPN,19,1602,2026-05-22,https://www.fifa.com/fifa-world-ranking
SEN,20,1593,2026-05-22,https://www.fifa.com/fifa-world-ranking
IRN,21,1581,2026-05-22,https://www.fifa.com/fifa-world-ranking
KOR,22,1571,2026-05-22,https://www.fifa.com/fifa-world-ranking
AUS,23,1560,2026-05-22,https://www.fifa.com/fifa-world-ranking
NGA,24,1550,2026-05-22,https://www.fifa.com/fifa-world-ranking
TUN,25,1537,2026-05-22,https://www.fifa.com/fifa-world-ranking
UKR,26,1525,2026-05-22,https://www.fifa.com/fifa-world-ranking
ECU,27,1513,2026-05-22,https://www.fifa.com/fifa-world-ranking
AUT,28,1502,2026-05-22,https://www.fifa.com/fifa-world-ranking
CAN,29,1491,2026-05-22,https://www.fifa.com/fifa-world-ranking
CZE,30,1479,2026-05-22,https://www.fifa.com/fifa-world-ranking
PER,31,1468,2026-05-22,https://www.fifa.com/fifa-world-ranking
SRB,32,1457,2026-05-22,https://www.fifa.com/fifa-world-ranking
CHI,33,1446,2026-05-22,https://www.fifa.com/fifa-world-ranking
SCO,34,1435,2026-05-22,https://www.fifa.com/fifa-world-ranking
POL,35,1425,2026-05-22,https://www.fifa.com/fifa-world-ranking
TUR,36,1414,2026-05-22,https://www.fifa.com/fifa-world-ranking
CIV,37,1404,2026-05-22,https://www.fifa.com/fifa-world-ranking
GHA,38,1394,2026-05-22,https://www.fifa.com/fifa-world-ranking
ALG,39,1384,2026-05-22,https://www.fifa.com/fifa-world-ranking
WAL,40,1374,2026-05-22,https://www.fifa.com/fifa-world-ranking
KSA,41,1365,2026-05-22,https://www.fifa.com/fifa-world-ranking
CMR,42,1355,2026-05-22,https://www.fifa.com/fifa-world-ranking
QAT,43,1346,2026-05-22,https://www.fifa.com/fifa-world-ranking
PAN,44,1337,2026-05-22,https://www.fifa.com/fifa-world-ranking
UZB,45,1328,2026-05-22,https://www.fifa.com/fifa-world-ranking
JOR,46,1319,2026-05-22,https://www.fifa.com/fifa-world-ranking
IRQ,47,1310,2026-05-22,https://www.fifa.com/fifa-world-ranking
JAM,48,1302,2026-05-22,https://www.fifa.com/fifa-world-ranking
RSA,49,1294,2026-05-22,https://www.fifa.com/fifa-world-ranking
NZL,50,1286,2026-05-22,https://www.fifa.com/fifa-world-ranking
CUW,51,1278,2026-05-22,https://www.fifa.com/fifa-world-ranking
BIH,74,1320,2026-05-22,https://www.fifa.com/fifa-world-ranking
COD,56,1400,2026-05-22,https://www.fifa.com/fifa-world-ranking
CPV,67,1360,2026-05-22,https://www.fifa.com/fifa-world-ranking
EGY,36,1530,2026-05-22,https://www.fifa.com/fifa-world-ranking
HAI,87,1240,2026-05-22,https://www.fifa.com/fifa-world-ranking
NOR,33,1555,2026-05-22,https://www.fifa.com/fifa-world-ranking
PAR,53,1410,2026-05-22,https://www.fifa.com/fifa-world-ranking
SWE,28,1605,2026-05-22,https://www.fifa.com/fifa-world-ranking
