canonical_team_id,snapshot_date,note_category,note_text
ARG,2026-06-10,injury,Lionel Messi recovering from minor hamstring strain; expected available for group opener.
ARG,2026-06-12,rotation,Coach Scaloni expected to rotate squad in final group match.
BRA,2026-06-11,absence,Bruno Guimarães suspended for one match after yellow-card accumulation in qualifiers.
ENG,2026-06-09,injury,Harry Maguire ruled out with calf injury; Konsa expected to start.
FRA,2026-06-13,injury,Dayot Upamecano racing to recover from knee complaint; Tchouaméni available.
GER,2026-06-10,rotation,Julian Nagelsmann expected to rest 2-3 starters in final group match.
ESP,2026-06-12,injury,Rodri long-term ACL recovery; Busquets in pre-tournament camp.
POR,2026-06-14,injury,Diogo Jota nursing a thigh strain; fitness 50/50 for opener.
NED,2026-06-11,motivation,Virgil van Dijk indicated this is his final major tournament; extra motivation.
ITA,2026-06-13,injury,Giorgio Scalvini out with ACL; Buongiorno likely deputy.
USA,2026-06-10,motivation,Host nation; extra crowd support expected throughout group stage.
MEX,2026-06-12,injury,Cesar Montes out for 2 weeks with hamstring; Araujo may shift centrally.
CAN,2026-06-11,absence,Stephen Eustaquio continues recovery from shoulder; expected available.
JPN,2026-06-13,rotation,Coach has hinted at 6+ changes in final group match.
KOR,2026-06-10,injury,Lee Jae-sung under treatment for muscle strain; status day-to-day.
MAR,2026-06-11,motivation,Strong showing at 2022 WC; squad intent on matching quarter-final run.
SEN,2026-06-12,injury,Sadio Mane working back from minor knock; expected to feature.
NGA,2026-06-13,injury,Victor Osimhen managing light ankle issue; precautionary rest.
BEL,2026-06-11,absence,Kevin De Bruyne still ramping up fitness; may start on bench in opener.
CRO,2026-06-10,motivation,Luka Modric final tournament; team motivated for deep run.
SUI,2026-06-12,rotation,Coach Yakin likely to rotate in 3rd group match.
DEN,2026-06-11,injury,Joachim Andersen returned from knock; available.
URU,2026-06-12,injury,Ronald Araújo continuing recovery from Achilles; status uncertain.
POL,2026-06-10,injury,Robert Lewandowski managing recurring muscle complaint; availability 70/30.
UKR,2026-06-13,motivation,War-time motivation high; squad has been together on a long camp.
TUR,2026-06-12,injury,Arda Güler working through minor muscle tightness; expected to play.
AUS,2026-06-11,absence,Ajdin Hrustic missed final warm-up; status day-to-day.
ECU,2026-06-12,injury,Moisés Caicedo nursing a tight hamstring; precautionary rest expected.
CIV,2026-06-10,absence,Franck Kessié suspended one match (yellow accumulation).
GHA,2026-06-13,injury,Mohammed Kudus under treatment; likely available.
CMR,2026-06-12,injury,André Onana managing minor back complaint; expected to start.
QAT,2026-06-11,motivation,Host nation 2022; 2026 group more competitive; squad motivated.
JAM,2026-06-13,injury,Leon Bailey managing hamstring tightness; availability uncertain.
PAN,2026-06-12,rotation,Coach likely to rotate in 3rd group match.
AUT,2026-06-11,injury,David Alaba continues ACL rehab; not in squad.
WAL,2026-06-10,injury,Aaron Ramsey managing calf issue; availability 50/50.
CZE,2026-06-12,rotation,Coach likely to rotate 4-5 players in final group match.
SCO,2026-06-11,motivation,First WC since 1998; squad motivated for deep run.
SRB,2026-06-13,injury,Sergej Milinković-Savić managing muscle complaint; availability 80/20.
IRN,2026-06-12,other,Mehdi Taremi veteran leadership noted as key factor by coaching staff.
TUN,2026-06-11,injury,Youssef Msakni nearing retirement; may feature in rotation role.
ALG,2026-06-10,injury,Riyad Mahrez managing minor muscle complaint; expected available.
KSA,2026-06-12,rotation,Coach expected to use squad depth across group.
PER,2026-06-11,motivation,Final tournament for several veterans; high motivation noted.
CHI,2026-06-12,injury,Alexis Sánchez veteran availability; expected used in rotation.
IRQ,2026-06-13,other,Coach has emphasized defensive organization in pre-tournament friendlies.
JOR,2026-06-11,motivation,First WC qualification; squad motivated by milestone.
UZB,2026-06-12,injury,Eldor Shomurodov managing light knock; expected available.
NZL,2026-06-11,rotation,Coach likely to rotate in 2nd and 3rd group matches.
RSA,2026-06-12,injury,Percy Tau managing hamstring; availability uncertain.
CUW,2026-06-13,other,First WC appearance; squad motivated by historic occasion.
BIH,2026-06-14,other,First WC since 2014; veteran core with Dzeko in final tournament.
COD,2026-06-15,other,First WC since 2014; physical style and strong defensive record in qualifying.
CPV,2026-06-14,motivation,First WC appearance; island nation milestone for squad and country.
EGY,2026-06-13,other,Salah-led veteran squad targeting deep knockout run; strong in AFCON cycle.
HAI,2026-06-14,motivation,First WC since 1974; historic return for the squad.
NOR,2026-06-13,other,First WC since 1998; Haaland generation with high expectations.
PAR,2026-06-14,other,First WC since 2010; veteran squad with Almiron; defensive focus.
SWE,2026-06-14,other,First WC since 2018; new generation post-Ibrahimovic era.
COL,2026-06-13,other,Motivated by 2026 hosting region; James Rodriguez veteran leadership.
